State,Exam Provider,Exam URL,Fingerprint Required,Fingerprint Provider,Fingerprint URL
AL,University of Alabama / Alabama DOI,https://training.ua.edu/insurance-testing/,YES,Alabama DOI,https://www.aldoi.gov/Licensing/Requirements.aspx
AK,Pearson VUE,https://www.pearsonvue.com/us/en/ak/insurance.html,YES,Alaska Division of Insurance,https://www.commerce.alaska.gov/web/ins/Producers/ResidentLicense.aspx
AZ,PSI,https://test-takers.psiexams.com/anzins,YES,Arizona DIFI,https://difi.az.gov/licensing/insurance-professionals
AR,PSI,https://test-takers.psiexams.com/arins,NO,,
CA,California Department of Insurance / PSI,https://www.insurance.ca.gov/0200-industry/0200-prod-licensing/0100-applicant-info/0800-exam-info/schedule-exam/computer-exam/,YES,California Department of Insurance,https://www.insurance.ca.gov/0200-industry/0200-prod-licensing/0100-applicant-info/0300-ca-fingerprint/
CO,Pearson VUE,https://www.pearsonvue.com/us/en/co/insurance.html,NO,,
CT,Pearson VUE,https://www.pearsonvue.com/us/en/ct/insurance.html,NO,,
DE,Pearson VUE,https://www.pearsonvue.com/us/en/de/insurance.html,YES,Delaware Department of Insurance,https://insurance.delaware.gov/wp-content/uploads/sites/15/2017/06/agentbull22-revised-2.pdf
DC,Pearson VUE,https://www.pearsonvue.com/us/en/dc/insurance.html,YES,DC DISB,https://disb.dc.gov/page/license-faqs
FL,Pearson VUE,https://www.pearsonvue.com/us/en/fl/insurance.html,YES,Florida DFS / IdentoGO,https://myfloridacfo.com/division/agents/licensing/agents-and-adjusters/fingerprinting-information
GA,Pearson VUE,https://www.pearsonvue.com/us/en/ga/insurance.html,YES,Georgia OCI,https://oci.georgia.gov/get-resident-insurance-agent-license
HI,Pearson VUE,https://www.pearsonvue.com/us/en/hi/insurance.html,YES,Fieldprint Hawaii,https://www.fieldprinthawaii.com/
ID,Pearson VUE,https://www.pearsonvue.com/us/en/id/insurance.html,YES,Idaho Department of Insurance,https://doi.idaho.gov/industry/licensing-services/testing-and-fingerprints/
IL,Pearson VUE,https://www.pearsonvue.com/us/en/il/insurance.html,NO,,
IN,Pearson VUE,https://www.pearsonvue.com/us/en/in/insurance.html,NO,,
IA,Pearson VUE,https://www.pearsonvue.com/us/en/ia/insurance.html,NO,,
KS,Pearson VUE,https://www.pearsonvue.com/us/en/ks/insurance.html,YES,Kansas Department of Insurance,https://www.insurance.kansas.gov/licensing/resident-producer-licensing
KY,Kentucky Department of Insurance eServices,https://insurance.ky.gov/ppc/newstatic_info.aspx?MenuID=32&divid=2&static_id=71,NO,,
LA,PSI,https://test-takers.psiexams.com/ladi,YES,Louisiana DOI / PSI,https://ldi.la.gov/industry/producer-adjuster/license-application
ME,Pearson VUE,https://www.pearsonvue.com/us/en/me/insurance.html,NO,,
MD,Prometric,https://www.prometric.com/exams/mia/,NO,,
MA,Pearson VUE,https://www.pearsonvue.com/us/en/ma/insurance.html,NO,,
MI,PSI,https://test-takers.psiexams.com/midifs,NO,,
MN,PSI,https://test-takers.psiexams.com/mnins,YES,Minnesota Commerce / PSI,https://mn.gov/commerce/licensing/list/insurance/producer.jsp
MS,Pearson VUE,https://www.pearsonvue.com/us/en/ms/insurance.html,NO,,
MO,Pearson VUE,https://www.pearsonvue.com/us/en/mo/insurance.html,NO,,
MT,Pearson VUE,https://www.pearsonvue.com/us/en/mt/insurance.html,YES,Montana CSI,https://csimt.gov/insurance/licensing/
NE,PSI,https://test-takers.psiexams.com/neins,NO,,
NV,Pearson VUE,https://www.pearsonvue.com/us/en/nv/insurance.html,YES,Nevada Division of Insurance,https://doi.nv.gov/Licensing/License_Types/Producer/Individuals/
NH,PSI,https://test-takers.psiexams.com/nhins,NO,,
NJ,PSI,https://test-takers.psiexams.com/njin,YES,New Jersey DOBI,https://www.nj.gov/dobi/insliced/livescan.htm
NM,PSI,https://test-takers.psiexams.com/nmins,YES,New Mexico OSI,https://www.osi.state.nm.us/pages/bureaus/producers/license-information/fingerprints-requirement
NY,PSI,https://test-takers.psiexams.com/nyins,NO,,
NC,Pearson VUE,https://www.pearsonvue.com/us/en/nc/insurance.html,YES,North Carolina DOI,https://www.ncdoi.gov/licensees/agent-and-adjuster-licensing/become-insurance-agent-or-adjuster/resident-fingerprint-requirements
ND,PSI,https://test-takers.psiexams.com/ndins,YES,North Dakota Insurance Department,https://www.insurance.nd.gov/producers/resident-producer/apply-resident-producer-license
OH,PSI,https://test-takers.psiexams.com/ohins,YES,Ohio Department of Insurance,https://insurance.ohio.gov/agents-and-agencies/agent-education/background-check
OK,PSI,https://test-takers.psiexams.com/okins,NO,,
OR,PSI,https://test-takers.psiexams.com/orins,YES,Oregon DFR,https://dfr.oregon.gov/business/licensing/insurance/Pages/fingerprint.aspx
PA,PSI,https://test-takers.psiexams.com/pain,YES,Pennsylvania Insurance Department,https://www.pa.gov/agencies/insurance/licensing/licensees/initial-insurance-producer-licensing-process
RI,Pearson VUE,https://www.pearsonvue.com/us/en/ri/insurance.html,NO,,
SC,Pearson VUE,https://www.pearsonvue.com/us/en/sc/insurance.html,YES,South Carolina DOI,https://doi.sc.gov/879/Fingerprinting
SD,Pearson VUE,https://www.pearsonvue.com/us/en/sd/insurance.html,NO,,
TN,Pearson VUE,https://www.pearsonvue.com/us/en/tn/insurance.html,YES,Tennessee Commerce & Insurance / IdentoGO,https://www.tn.gov/content/tn/commerce/insurance/agent-producer-resources/fingerprint.html
TX,Pearson VUE,https://www.pearsonvue.com/us/en/tx/insurance.html,YES,Texas Department of Insurance / IdentoGO,https://www.tdi.texas.gov/agent/fingerprint-instructions.html
UT,Prometric,https://www.prometric.com/exams/insurance/,YES,Utah Insurance Department / Prometric,https://insurance.utah.gov/licensee/producers/exam/fingerprinting
VT,Prometric,https://www.prometric.com/exams/insurance-vt/,NO,,
VA,Prometric,https://www.prometric.com/exams/insurance-va,NO,,
WA,PSI,https://test-takers.psiexams.com/waoic,YES,Washington Office of Insurance Commissioner,https://www.insurance.wa.gov/producers-adjusters/licensing/get-licensed/fingerprint-requirements
WV,Pearson VUE,https://www.pearsonvue.com/us/en/wv/insurance.html,YES,West Virginia Offices of Insurance Commissioner / IdentoGO,https://www.wvinsurance.gov/Divisions_Licensing/ItemId/5400
WI,PSI,https://test-takers.psiexams.com/wiins,YES,Wisconsin OCI,https://oci.wi.gov/Pages/Agents/FingerPrinting.aspx
WY,Pearson VUE,https://www.pearsonvue.com/us/en/wy/insurance.html,YES,Wyoming Department of Insurance,https://doi.wyo.gov/licensing/producers
