State,Provider,URL
"AL","University of Alabama / Alabama DOI","https://training.ua.edu/insurance-testing/"
"AK","Pearson VUE","https://www.pearsonvue.com/us/en/ak/insurance.html"
"AZ","PSI","https://test-takers.psiexams.com/anzins"
"AR","PSI","https://test-takers.psiexams.com/arins"
"CA","California Department of Insurance / PSI","https://www.insurance.ca.gov/0200-industry/0200-prod-licensing/0100-applicant-info/0800-exam-info/schedule-exam/computer-exam/"
"CO","Pearson VUE","https://www.pearsonvue.com/us/en/co/insurance.html"
"CT","Pearson VUE","https://www.pearsonvue.com/us/en/ct/insurance.html"
"DE","Pearson VUE","https://www.pearsonvue.com/us/en/de/insurance.html"
"DC","Pearson VUE","https://www.pearsonvue.com/us/en/dc/insurance.html"
"FL","Pearson VUE","https://www.pearsonvue.com/us/en/fl/insurance.html"
"GA","Pearson VUE","https://www.pearsonvue.com/us/en/ga/insurance.html"
"HI","Pearson VUE","https://www.pearsonvue.com/us/en/hi/insurance.html"
"ID","Pearson VUE","https://www.pearsonvue.com/us/en/id/insurance.html"
"IL","Pearson VUE","https://www.pearsonvue.com/us/en/il/insurance.html"
"IN","Pearson VUE","https://www.pearsonvue.com/us/en/in/insurance.html"
"IA","Pearson VUE","https://www.pearsonvue.com/us/en/ia/insurance.html"
"KS","Pearson VUE","https://www.pearsonvue.com/us/en/ks/insurance.html"
"KY","Kentucky Department of Insurance eServices","https://insurance.ky.gov/ppc/newstatic_info.aspx?MenuID=32&divid=2&static_id=71"
"LA","PSI","https://test-takers.psiexams.com/ladi"
"ME","Pearson VUE","https://www.pearsonvue.com/us/en/me/insurance.html"
"MD","Prometric","https://www.prometric.com/exams/mia/"
"MA","Pearson VUE","https://www.pearsonvue.com/us/en/ma/insurance.html"
"MI","PSI","https://test-takers.psiexams.com/midifs"
"MN","PSI","https://test-takers.psiexams.com/mnins"
"MS","Pearson VUE","https://www.pearsonvue.com/us/en/ms/insurance.html"
"MO","Pearson VUE","https://www.pearsonvue.com/us/en/mo/insurance.html"
"MT","Pearson VUE","https://www.pearsonvue.com/us/en/mt/insurance.html"
"NE","PSI","https://test-takers.psiexams.com/neins"
"NV","Pearson VUE","https://www.pearsonvue.com/us/en/nv/insurance.html"
"NH","PSI","https://test-takers.psiexams.com/nhins"
"NJ","PSI","https://test-takers.psiexams.com/njin"
"NM","PSI","https://test-takers.psiexams.com/nmins"
"NY","PSI","https://test-takers.psiexams.com/nyins"
"NC","Pearson VUE","https://www.pearsonvue.com/us/en/nc/insurance.html"
"ND","PSI","https://test-takers.psiexams.com/ndins"
"OH","PSI","https://test-takers.psiexams.com/ohins"
"OK","PSI","https://test-takers.psiexams.com/okins"
"OR","PSI","https://test-takers.psiexams.com/orins"
"PA","PSI","https://test-takers.psiexams.com/pain"
"RI","Pearson VUE","https://www.pearsonvue.com/us/en/ri/insurance.html"
"SC","Pearson VUE","https://www.pearsonvue.com/us/en/sc/insurance.html"
"SD","Pearson VUE","https://www.pearsonvue.com/us/en/sd/insurance.html"
"TN","Pearson VUE","https://www.pearsonvue.com/us/en/tn/insurance.html"
"TX","Pearson VUE","https://www.pearsonvue.com/us/en/tx/insurance.html"
"UT","Prometric","https://www.prometric.com/exams/insurance/"
"VT","Prometric","https://www.prometric.com/exams/insurance-vt/"
"VA","Prometric","https://www.prometric.com/exams/insurance-va"
"WA","PSI","https://test-takers.psiexams.com/waoic"
"WV","Pearson VUE","https://www.pearsonvue.com/us/en/wv/insurance.html"
"WI","PSI","https://test-takers.psiexams.com/wiins"
"WY","Pearson VUE","https://www.pearsonvue.com/us/en/wy/insurance.html"
